"link_produk","judul_produk","harga","potongan_harga","flex-none src","rating","terjual","jenis","inline src","kota"
"https://shopee.co.id/HP-IPHONE-14-128GB-Garansi-Resmi-Indonesia-i.30103636.44855012375?extraParams=%7B%22display_model_id%22%3A307349661673%2C%22model_selection_logic%22%3A3%7D&sp_atk=f5b6e512-71d3-4f88-9ca5-bdbfa9663992&xptdk=f5b6e512-71d3-4f88-9ca5-bdbfa9663992","HP IPHONE 14 128GB - Garansi Resmi Indonesia","9.165.000","","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/d7099d3fd1dfdaf705ab.svg","5.0","13 Terjual","Hari ini","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/5dd7b4560d0e2d3190e8.svg","Surabaya"
"https://shopee.co.id/-Free-Gift-realme-P3-Lite-4G-4GB-8GB-RAM-128GB-NFC-120Hz-Display-50MP-Camera-6300mAh-Battery-Android-Smartphone-i.1704458777.54406155901?extraParams=%7B%22display_model_id%22%3A350628325833%2C%22model_selection_logic%22%3A3%7D&sp_atk=c62ac6b6-5e6c-4ff3-b93d-684f0f42677b&xptdk=c62ac6b6-5e6c-4ff3-b93d-684f0f42677b","[Free Gift]realme P3 Lite 4G 4GB+8GB RAM 128GB NFC 120Hz Display 50MP Camera 6300mAh Battery Android Smartphone","1.619.000","-52%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/d7099d3fd1dfdaf705ab.svg","4.9","52 Terjual","3-6 Hari","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/5dd7b4560d0e2d3190e8.svg","Denpasar"
"https://shopee.co.id/Infinix-Hot-60i-6-128GB-Up-to-12GB-Extended-RAM-Helio-G81-6.7-inch-120Hz-HD-50MP-5160-mAh-NFC-i.342033216.43406203987?extraParams=%7B%22display_model_id%22%3A275519527379%2C%22model_selection_logic%22%3A3%7D&sp_atk=c5f8a807-c1cc-4ac1-b42d-ce4da1cd841b&xptdk=c5f8a807-c1cc-4ac1-b42d-ce4da1cd841b","Infinix Hot 60i 6/128GB - Up to 12GB Extended RAM - Helio G81 - 6.7 inch 120Hz HD+ - 50MP - 5160 mAh - NFC","1.799.000","-5%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/d7099d3fd1dfdaf705ab.svg","4.9","10RB+ Terjual","2-4 Hari","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/5dd7b4560d0e2d3190e8.svg","Jakarta Utara"
"https://shopee.co.id/ITEL-A100C-3-5GB-RAM-64GB-ROM-Smartphone-6.6-Inch-90Hz-Military-Grade-5000mAh-4-64GB-4-Warna-i.1586001868.52105377901?extraParams=%7B%22display_model_id%22%3A320490817320%2C%22model_selection_logic%22%3A3%7D&sp_atk=5bb158c3-6738-4432-9c28-cacc1861111f&xptdk=5bb158c3-6738-4432-9c28-cacc1861111f","ITEL A100C 3+5GB RAM |/64GB ROM Smartphone 6.6 Inch 90Hz Military-Grade 5000mAh 4+64GB 4 Warna","1.249.000","-26%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/d7099d3fd1dfdaf705ab.svg","4.9","61 Terjual","Besok","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/5dd7b4560d0e2d3190e8.svg","Jakarta Barat"
"https://shopee.co.id/SAMSUNG-GALAXY-A56-5G-8-12GB-256GB-i.1273997571.46705253755?extraParams=%7B%22display_model_id%22%3A272360479345%2C%22model_selection_logic%22%3A3%7D&sp_atk=36d6a7cf-8499-47ba-806a-f605e0e0b592&xptdk=36d6a7cf-8499-47ba-806a-f605e0e0b592","SAMSUNG GALAXY A56 5G 8/12GB 256GB","5.969.000","-34%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/d7099d3fd1dfdaf705ab.svg","4.9","87 Terjual","Hari ini","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/5dd7b4560d0e2d3190e8.svg","Surabaya"
"https://shopee.co.id/iPhone-17-Pro-256GB-Garansi-Resmi-Indonesia-i.143199398.50405815100?extraParams=%7B%22display_model_id%22%3A395525583755%2C%22model_selection_logic%22%3A3%7D&sp_atk=38f7cf7d-546c-4985-ae0d-9fa1ee0a92cf&xptdk=38f7cf7d-546c-4985-ae0d-9fa1ee0a92cf","iPhone 17 Pro 256GB Garansi Resmi Indonesia","24.599.000","","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/d7099d3fd1dfdaf705ab.svg","5.0","3 Terjual","5 jam","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/5dd7b4560d0e2d3190e8.svg","Surabaya"
"https://shopee.co.id/Infinix-Smart-20-4-64GB-Up-to-8GB-Extended-RAM-Mediatek-Helio-G81-6.78%E2%80%9D-8MP-5200-mAh-IP64-i.342033216.46906666616?extraParams=%7B%22display_model_id%22%3A277429228902%2C%22model_selection_logic%22%3A3%7D&sp_atk=d2cdeaf9-9a2c-4c89-90ec-b2dabf9189a2&xptdk=d2cdeaf9-9a2c-4c89-90ec-b2dabf9189a2","Infinix Smart 20 4/64GB - Up to 8GB Extended RAM - Mediatek Helio G81 - 6.78” - 8MP - 5200 mAh - IP64","1.499.000","","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/d7099d3fd1dfdaf705ab.svg","5.0","2RB+ Terjual","2-4 Hari","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/5dd7b4560d0e2d3190e8.svg","Jakarta Utara"
"https://shopee.co.id/SAMSUNG-GALAXY-A17-8GB-256GB-BLACK-BLUE-GREY-i.1273997571.49357376377?extraParams=%7B%22display_model_id%22%3A370653892054%2C%22model_selection_logic%22%3A3%7D&sp_atk=45cca691-f4ca-4cee-b962-b8a254dbfd1e&xptdk=45cca691-f4ca-4cee-b962-b8a254dbfd1e","SAMSUNG GALAXY A17 8GB 256GB | BLACK - BLUE - GREY","3.289.000","-51%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/d7099d3fd1dfdaf705ab.svg","5.0","3 Terjual","Hari ini","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/5dd7b4560d0e2d3190e8.svg","Surabaya"
"https://shopee.co.id/SAMSUNG-GALAXY-A36-5G-8GB-256GB-BLACK-LAVENDER-LIME-WHITE-i.1273997571.56556287226?extraParams=%7B%22display_model_id%22%3A350568853371%2C%22model_selection_logic%22%3A3%7D&sp_atk=ce4f9c9c-fcf2-4bfc-89d3-6c264459ba96&xptdk=ce4f9c9c-fcf2-4bfc-89d3-6c264459ba96","SAMSUNG GALAXY A36 5G 8GB 256GB | BLACK - LAVENDER - LIME - WHITE","4.809.000","-40%","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/d7099d3fd1dfdaf705ab.svg","5.0","30 Terjual","Hari ini","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/5dd7b4560d0e2d3190e8.svg","Surabaya"
"https://shopee.co.id/POCO-C85-(6-128-GB)-(8-256-GB)-Baterai-besar-6000mAh-dengan-pengisian-daya-33W-Ekspansi-RAM-hingga-16GB-Layar-imersif-6.9-120Hz-50MP-kamera-ganda-AI-Official-Store--i.885639549.42214961946?extraParams=%7B%22display_model_id%22%3A276238696433%2C%22model_selection_logic%22%3A3%7D&sp_atk=10785e8e-71b5-4418-89bb-202cded1e035&xptdk=10785e8e-71b5-4418-89bb-202cded1e035","POCO C85 (6/128 GB) (8/256 GB) Baterai besar 6000mAh dengan pengisian daya 33W | Ekspansi RAM hingga 16GB | Layar imersif 6.9"" 120Hz | 50MP kamera ganda AI [Official Store]","1.949.000","","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/d7099d3fd1dfdaf705ab.svg","4.9","10RB+ Terjual","2-3 Hari","https://deo.shopeemobile.com/shopee/modules-federation/live/0/shopee__item-card-standard-v2/0.2.5/pc/5dd7b4560d0e2d3190e8.svg","Kab. Tangerang"
