Produk,Harga_Produk,Produk_Terjual,Lokasi_Toko,E-Commerce
Realme C85 NFC 6GB/128GB I 8GB/128GB I 8GB/256GB Garansi Resmi Realme Indonesia,2299000,35.0,jakarta pusat (kota),Shopee
Xiaomi Redmi Note 14 5G 12/512GB ( +12GB Extended RAM ) Garansi Resmi Xiaomi,2799000,5000.0,bekasi (kota),Shopee
DZL - HP INFINIX Note 60 5G 8/256 GB 6500mAh Original Garansi Resmi Official Store Handphone Ori,3899000,26.0,sleman (kabupaten),Shopee
Handphone Hp Nokia 105 (2023) Charcoal | Cyan | Red - Garansi Resmi TAM 1 Tahun,274000,1000.0,surabaya (kota),Shopee
OPPO A5 NFC 8/256GB ( +8GB Extended RAM ) Garansi Resmi OPPO,1699000,2000.0,bekasi (kota),Shopee
XIAOMI REDMI 15C 6/8GB 128/256GB | GREEN - BLACK - BLUE - ORANGE,1989000,588.0,surabaya (kota),Shopee
Xiaomi Redmi A5 4/128GB [ Garansi Resmi Xiaomi ],1727000,888.0,surabaya (kota),Shopee
Itel P55 4G Ram 8/128GB | Ram 8/256GB,1487779,5.0,surabaya (kota),Shopee
Infinix Note 50S 5G+ 8/256GB - Up to 16GB Extended RAM - Dimensity 7300 Ultimate - 6.78” 3D Curved FHD+ Amoled - 64MP OIS - 5200 mAh - NFC,3369000,10000.0,jakarta utara (kota),Shopee
Infinix Hot 60 Pro 8/256GB - Up to 16GB Extended RAM - Helio G200 - 6.78 inch 144Hz AMOLED - 50MP - 5160 mAh - NFC,2549000,10000.0,jakarta utara (kota),Shopee
XIAOMI REDMI A7 PRO 4GB 128GB | BLACK,1859000,1000.0,surabaya (kota),Shopee
"vivo Y19S (6/128) - 50 MP AI Camera, 5500mAh+15W FlashCharge, SGS Drop Resistance, IP64 Dust Waterproof, Dual Speaker Audio Boost",1999000,10000.0,tangerang (kabupaten),Shopee
"Samsung Galaxy A56 5G, Original, Kamera 50 MP - 8/128GB 8/256GB 12/256GB",6499000,4000.0,bekasi (kota),Shopee
DZL - HP REALME C71 8/128 6/128 4/128 NFC Original Garansi Resmi Official Store Handphone Ori,1829000,1000.0,sleman (kabupaten),Shopee
"vivo V40 Lite 4G (8/128) - AI Aura Light Potrait, AI Erase, 80W FlashCharge, 32MP Front Camera",2699000,6000.0,Tidak Diketahui,Shopee
"TECNO POVA 7 8+8GB*/256GB, 7000 mAh, Mediatek Helio G100 Ultimate, 120Hz Vivid Display , 108MP + 2MP Macro Camera, Android 15 - HiOS 15 POVA7",3099000,10000.0,jakarta barat (kota),Shopee
XIAOMI REDMI A7 PRO 4GB 128GB,1869000,1000.0,surabaya (kota),Shopee
Samsung Galaxy A17 5G 4G ( 8/256 ) A17 Garansi Resmi Sein,2890000,4000.0,jakarta selatan (kota),Shopee
"Tecno Spark Go 3 (RAM 4+4GB, ROM 64/128GB, IP64, 6.75"" , 120Hz Smooth Display, 5000 mAh)",1603000,118.0,surabaya (kota),Shopee
Smartphone Vivo Y20s asli ori handphone RAM 8/256GB  Camera 13MP,993000,172.0,tangerang (kabupaten),Shopee
iPhone17 Pro Max hdc Android11 Garansi bisa behasa Indonesia 6.9inch,1450699,58.0,jakarta utara (kota),Shopee
HP VIVO Y93 RAM 8/256GB Smartphone Fullset Garansi 1 Tahun,515000,276.0,jakarta barat (kota),Shopee
Xiaomi Redmi Note 15 Pro 5G 8/256GB 12/512GB RAM 8GB 12GB ROM 256GB 512GB - Garansi Resmi 1 Tahun,4834000,710.0,surabaya (kota),Shopee
Apple iPhone XS MAX xs 256GB 64GB Fullset Original 100%  | NO MULUS NORMAL  Kondisi Perfect,2417000,639.0,jakarta barat (kota),Shopee
Vivo V70 12/256GB Garansi Resmi Indonesia,8999000,4.0,surabaya (kota),Shopee
Infinix Smart 20 (4/64 GB) (4/128 GB) - Garansi Resmi [Bisa Instant Area Malang],1499000,158.0,malang (kota),Shopee
Hp OPPO A3S RAM 6+128GB 4G LTE Garansi 1 Tahun Grosir,699000,2000.0,jakarta barat (kota),Shopee
Handphone / HP Jadul Nokia 105 2023 Dual SIM Original Garansi Resmi 1 Tahun,259000,206.0,surabaya (kota),Shopee
Xiaomi Redmi 15 RAM 8/128GB Segel Original & Bergaransi Resmi,2049250,10.0,surabaya (kota),Shopee
MOTOROLA EDGE 60 PRO 5G 12GB 256GB | SHADOW - BLUE,6289000,6.0,surabaya (kota),Shopee
Infinix Note Edge 5G+ 8/256 GB NEW (BARU) ORIGINAL & GARANSI RESMI NO REPACK,3250000,61.0,sidoarjo (kabupaten),Shopee
OPPO Reno13 F 5G 12GB+256GB & 8GB+256GB,5799000,3000.0,tangerang (kota),Shopee
SAMSUNG GALAXY A36 5G 8GB 256GB,4819000,5.0,surabaya (kota),Shopee
INFINIX SMART 20 (4/64GB) (4/128GB) - GARANSI RESMI,1799000,47.0,banjarbaru (kota),Shopee
"[5x SUPERZOOM FLASHSNAP] TECNO CAMON 50 PRO 5G 8GB+8GB*/256GB, 50MP Sony LYT-700C, 50MP 3x Telephoto Camera, MediaTek Dimensity 7400 Ultimate 5G, IP69K, 6500mAh, Android 16, camon50pro",5599000,408.0,jakarta barat (kota),Shopee
INFINIX SMART 20 (4/64GB) (4/128GB) - GARANSI RESMI,1799000,47.0,banjarbaru (kota),Shopee
"[ONLINE EXCLUSIVE] vivo V60 Lite 4G (8/128) 50MP Sony Camera, 6500 mAh + 90W FlashCharge, Bypass Charging, AI Four-Seasons, SGS 5-Star Drop Resistance",4699000,992.0,Tidak Diketahui,Shopee
iphone 17pro max 1:1 HDC phone 8/512GB bisa wifi behasa indo,1426380,291.0,jakarta utara (kota),Shopee
SAMSUNG Galaxy A05s | A05 6/128GB 4/128GB 4/64GB Garansi Resmi Samsung,1599000,4000.0,bekasi (kota),Shopee
HP VIVO Y93 RAM 8/256GB Smartphone Fullset Garansi 1 Tahun,515000,276.0,jakarta barat (kota),Shopee
Infinix Note 50 8/256GB - Up to 16GB Extended RAM - Helio G100 - 6.78” FHD+ Amoled - 50MP OIS - 5200 mAh - NFC,2899000,10000.0,jakarta utara (kota),Shopee
Vivo Y05 Y21d - 4GB/6GB/8GB Extended RAM Official Store HP Android Murah Terbaru 2026 Handphone COD,2575080,10000.0,jakarta utara (kota),Shopee
Tecno Pova 7 5G 8/256GB Garansi Resmi Indonesia,3319000,27.0,surabaya (kota),Shopee
Samsung Galaxy A17 4G 5G 8/128GB 8/256GB RAM 8GB ROM 128GB 256GB  - Garansi Resmi SEIN 1 Tahun,3229000,2000.0,semarang (kota),Shopee
iPhone 12 ex iBox Beacukai IMEI Permanen Garansi 12 Bln 100% Original Second Resmi FULLSET BC 128GB 256GB 512GB 1TB,5898410,1000.0,jakarta selatan (kota),Shopee
Samsung Galaxy A07 4/64GB | 4/128GB | 6/128GB | 8/256GB 6.7 Inch Garansi Resmi,2199000,344.0,balikpapan (kota),Shopee
Infinix Smart 20 (4/64 GB) (4/128 GB) - Garansi Resmi [Bisa Instant Area Malang],1499000,158.0,malang (kota),Shopee
