brand_clean,total_komentar,jumlah_positif,jumlah_netral,jumlah_negatif,sentiment_score_avg,persen_positif,persen_netral,persen_negatif,total_listing,total_terjual,avg_harga,avg_rating
ASUS,19,5,13,1,0.21052631578947367,26.31578947368421,68.42105263157895,5.263157894736842,22,170,58307984.54545455,8.450000000000001
iQOO,99,17,81,1,0.16161616161616163,17.17171717171717,81.81818181818183,1.0101010101010102,15,2100,45882933.333333336,4.92
TECNO,174,29,142,3,0.14942528735632185,16.666666666666664,81.60919540229885,1.7241379310344827,414,46385,25436265.555555556,8.928260869565218
Apple,127,20,105,2,0.14173228346456693,15.748031496062993,82.67716535433071,1.574803149606299,146,59109,82756441.78082192,18.062328767123287
vivo,145,21,122,2,0.1310344827586207,14.482758620689657,84.13793103448276,1.3793103448275863,393,229482,29024716.844783716,119.12671755725192
Xiaomi,302,40,253,9,0.10264900662251655,13.245033112582782,83.77483443708608,2.980132450331126,735,579681,28301278.598639455,44.93224489795918
Samsung,298,39,249,10,0.09731543624161074,13.087248322147651,83.55704697986577,3.3557046979865772,930,389413,41271202.010752685,29.179462365591398
Infinix,422,49,365,8,0.0971563981042654,11.61137440758294,86.49289099526067,1.8957345971563981,651,288713,18515918.86328725,81.36589861751152
POCO,508,52,447,9,0.08464566929133858,10.236220472440944,87.99212598425197,1.7716535433070866,165,88562,31774809.818181816,38.73939393939394
itel,42,6,33,3,0.07142857142857142,14.285714285714285,78.57142857142857,7.142857142857142,147,29878,14420006.734693877,15.795918367346939
realme,130,13,111,6,0.05384615384615385,10.0,85.38461538461539,4.615384615384616,527,119568,25976118.61480076,65.68861480075901
OPPO,155,12,139,4,0.05161290322580645,7.741935483870968,89.6774193548387,2.5806451612903225,527,75635,31220468.576850094,24.542884250474383
